{'loss': 6.335, 'learning_rate': 9.997076023391814e-05, 'epoch': 0.0}
{'loss': 5.4353, 'learning_rate': 9.994152046783625e-05, 'epoch': 0.01}
{'loss': 5.2979, 'learning_rate': 9.991228070175439e-05, 'epoch': 0.01}
{'loss': 4.7903, 'learning_rate': 9.988304093567253e-05, 'epoch': 0.01}
{'loss': 4.6125, 'learning_rate': 9.985380116959064e-05, 'epoch': 0.01}
{'loss': 3.8842, 'learning_rate': 9.982456140350878e-05, 'epoch': 0.02}
{'loss': 3.7501, 'learning_rate': 9.979532163742691e-05, 'epoch': 0.02}
{'loss': 3.598, 'learning_rate': 9.976608187134502e-05, 'epoch': 0.02}
{'loss': 3.6144, 'learning_rate': 9.973684210526316e-05, 'epoch': 0.03}
{'loss': 3.3774, 'learning_rate': 9.97076023391813e-05, 'epoch': 0.03}
{'loss': 3.0585, 'learning_rate': 9.967836257309941e-05, 'epoch': 0.03}
{'loss': 3.0724, 'learning_rate': 9.964912280701755e-05, 'epoch': 0.04}
{'loss': 2.8047, 'learning_rate': 9.961988304093568e-05, 'epoch': 0.04}
{'loss': 2.4737, 'learning_rate': 9.95906432748538e-05, 'epoch': 0.04}
{'loss': 2.5051, 'learning_rate': 9.956140350877193e-05, 'epoch': 0.04}
{'loss': 2.5131, 'learning_rate': 9.953216374269007e-05, 'epoch': 0.05}
{'loss': 2.3247, 'learning_rate': 9.950292397660818e-05, 'epoch': 0.05}
{'loss': 2.2945, 'learning_rate': 9.947368421052632e-05, 'epoch': 0.05}
{'loss': 2.1271, 'learning_rate': 9.944444444444446e-05, 'epoch': 0.06}
{'loss': 2.0714, 'learning_rate': 9.941520467836257e-05, 'epoch': 0.06}
{'loss': 1.9893, 'learning_rate': 9.93859649122807e-05, 'epoch': 0.06}
{'loss': 2.098, 'learning_rate': 9.935672514619884e-05, 'epoch': 0.06}
{'loss': 1.885, 'learning_rate': 9.932748538011696e-05, 'epoch': 0.07}
{'loss': 1.8443, 'learning_rate': 9.929824561403509e-05, 'epoch': 0.07}
{'loss': 1.7606, 'learning_rate': 9.926900584795323e-05, 'epoch': 0.07}
{'loss': 1.6893, 'learning_rate': 9.923976608187135e-05, 'epoch': 0.08}
{'loss': 2.0321, 'learning_rate': 9.921052631578947e-05, 'epoch': 0.08}
{'loss': 1.684, 'learning_rate': 9.918128654970761e-05, 'epoch': 0.08}
{'loss': 1.6195, 'learning_rate': 9.915204678362574e-05, 'epoch': 0.08}
{'loss': 1.5974, 'learning_rate': 9.912280701754386e-05, 'epoch': 0.09}
{'loss': 1.4329, 'learning_rate': 9.9093567251462e-05, 'epoch': 0.09}
{'loss': 1.5118, 'learning_rate': 9.906432748538012e-05, 'epoch': 0.09}
{'loss': 1.4796, 'learning_rate': 9.903508771929825e-05, 'epoch': 0.1}
{'loss': 1.4879, 'learning_rate': 9.900584795321638e-05, 'epoch': 0.1}
{'loss': 1.2969, 'learning_rate': 9.89766081871345e-05, 'epoch': 0.1}
{'loss': 1.3486, 'learning_rate': 9.894736842105263e-05, 'epoch': 0.11}
{'loss': 1.3493, 'learning_rate': 9.891812865497077e-05, 'epoch': 0.11}
{'loss': 1.2425, 'learning_rate': 9.888888888888889e-05, 'epoch': 0.11}
{'loss': 1.3233, 'learning_rate': 9.885964912280702e-05, 'epoch': 0.11}
{'loss': 1.339, 'learning_rate': 9.883040935672515e-05, 'epoch': 0.12}
{'loss': 1.1374, 'learning_rate': 9.880116959064328e-05, 'epoch': 0.12}
{'loss': 1.2511, 'learning_rate': 9.87719298245614e-05, 'epoch': 0.12}
{'loss': 1.1667, 'learning_rate': 9.874269005847954e-05, 'epoch': 0.13}
{'loss': 1.0236, 'learning_rate': 9.871345029239766e-05, 'epoch': 0.13}
{'loss': 1.0436, 'learning_rate': 9.868421052631579e-05, 'epoch': 0.13}
{'loss': 1.0472, 'learning_rate': 9.865497076023392e-05, 'epoch': 0.13}
{'loss': 0.9113, 'learning_rate': 9.862573099415205e-05, 'epoch': 0.14}
{'loss': 1.136, 'learning_rate': 9.859649122807017e-05, 'epoch': 0.14}
{'loss': 0.9797, 'learning_rate': 9.856725146198831e-05, 'epoch': 0.14}
{'loss': 0.9453, 'learning_rate': 9.853801169590643e-05, 'epoch': 0.15}
{'loss': 0.9987, 'learning_rate': 9.850877192982456e-05, 'epoch': 0.15}
{'loss': 0.9921, 'learning_rate': 9.84795321637427e-05, 'epoch': 0.15}
{'loss': 0.9703, 'learning_rate': 9.845029239766082e-05, 'epoch': 0.15}
{'loss': 0.8002, 'learning_rate': 9.842105263157894e-05, 'epoch': 0.16}
{'loss': 0.8587, 'learning_rate': 9.839181286549708e-05, 'epoch': 0.16}
{'loss': 0.8668, 'learning_rate': 9.83625730994152e-05, 'epoch': 0.16}
{'loss': 0.856, 'learning_rate': 9.833333333333333e-05, 'epoch': 0.17}
{'loss': 0.7651, 'learning_rate': 9.830409356725147e-05, 'epoch': 0.17}
{'loss': 0.7345, 'learning_rate': 9.827485380116959e-05, 'epoch': 0.17}
{'loss': 0.838, 'learning_rate': 9.824561403508771e-05, 'epoch': 0.18}
{'loss': 0.8583, 'learning_rate': 9.821637426900585e-05, 'epoch': 0.18}
{'loss': 0.7917, 'learning_rate': 9.818713450292399e-05, 'epoch': 0.18}
{'loss': 0.8272, 'learning_rate': 9.815789473684211e-05, 'epoch': 0.18}
{'loss': 0.8243, 'learning_rate': 9.812865497076024e-05, 'epoch': 0.19}
{'loss': 0.7575, 'learning_rate': 9.809941520467838e-05, 'epoch': 0.19}
{'loss': 0.7551, 'learning_rate': 9.80701754385965e-05, 'epoch': 0.19}
{'loss': 0.7213, 'learning_rate': 9.804093567251462e-05, 'epoch': 0.2}
{'loss': 0.6489, 'learning_rate': 9.801169590643276e-05, 'epoch': 0.2}
{'loss': 0.7086, 'learning_rate': 9.798245614035088e-05, 'epoch': 0.2}
{'loss': 0.7415, 'learning_rate': 9.795321637426901e-05, 'epoch': 0.2}
{'loss': 0.6301, 'learning_rate': 9.792397660818715e-05, 'epoch': 0.21}
{'loss': 0.7468, 'learning_rate': 9.789473684210527e-05, 'epoch': 0.21}
{'loss': 0.7338, 'learning_rate': 9.78654970760234e-05, 'epoch': 0.21}
{'loss': 0.5667, 'learning_rate': 9.783625730994153e-05, 'epoch': 0.22}
{'loss': 0.7291, 'learning_rate': 9.780701754385966e-05, 'epoch': 0.22}
{'loss': 0.7042, 'learning_rate': 9.777777777777778e-05, 'epoch': 0.22}
{'loss': 0.7659, 'learning_rate': 9.774853801169592e-05, 'epoch': 0.22}
{'loss': 0.6861, 'learning_rate': 9.771929824561404e-05, 'epoch': 0.23}
{'loss': 0.6335, 'learning_rate': 9.769005847953217e-05, 'epoch': 0.23}
{'loss': 0.6588, 'learning_rate': 9.76608187134503e-05, 'epoch': 0.23}
{'loss': 0.6779, 'learning_rate': 9.763157894736843e-05, 'epoch': 0.24}
{'loss': 0.6549, 'learning_rate': 9.760233918128655e-05, 'epoch': 0.24}
{'loss': 0.6416, 'learning_rate': 9.757309941520469e-05, 'epoch': 0.24}
{'loss': 0.7669, 'learning_rate': 9.754385964912281e-05, 'epoch': 0.25}
{'loss': 0.59, 'learning_rate': 9.751461988304094e-05, 'epoch': 0.25}
{'loss': 0.723, 'learning_rate': 9.748538011695907e-05, 'epoch': 0.25}
